FEN,Average Error,Event,Move,Best Move,Player,To Move,White,Black,Round,Result,WhiteElo,BlackElo,Opening,File
2rq1rk1/pp1bnppp/4p3/n7/2P5/1N1Q2P1/P3PPBP/R1B2RK1 b - - 4 15,4.14625,FIDE World Championship Match 1986,a5c4,e7c6,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
2rq1rk1/pB1bnppp/4p3/8/2n5/1N1Q2P1/P3PP1P/R1B2RK1 b - - 0 16,3.466666666666667,FIDE World Championship Match 1986,c8c7,c4e5,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
3q1rk1/p1rbnppp/B3p3/4n3/8/1N1Q2P1/P3PP1P/R1B2RK1 w - - 3 18,-4.131956521739131,FIDE World Championship Match 1986,d3e3,d3e4,White,White,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
3q1rk1/p1rbnppp/B3p3/4n3/8/1N2Q1P1/P3PP1P/R1B2RK1 b - - 4 18,3.700000000000001,FIDE World Championship Match 1986,e5c4,f7f6,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
3q1rk1/p1rbnppp/B3p3/8/2n5/1N2Q1P1/P3PP1P/R1B2RK1 w - - 5 19,-3.7883783783783787,FIDE World Championship Match 1986,e3e4,e3d3,White,White,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
3q1rk1/p1rbnppp/B3p3/8/2n1Q3/1N4P1/P3PP1P/R1B2RK1 b - - 6 19,3.757142857142857,FIDE World Championship Match 1986,c4d6,d8a8,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
3q1rk1/p1rbnppp/B2np3/8/4Q3/1N4P1/P3PP1P/R1B2RK1 w - - 7 20,-4.169230769230769,FIDE World Championship Match 1986,e4d3,e4e5,White,White,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
3q1rk1/p1rbnppp/B2np3/8/8/1N1Q2P1/P3PP1P/R1B2RK1 b - - 8 20,3.7807894736842087,FIDE World Championship Match 1986,c7c6,d7c8,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
2bq1rk1/p3nppp/B1rnp3/8/8/BN1Q2P1/P3PP1P/R4RK1 w - - 11 22,-3.432765957446808,FIDE World Championship Match 1986,a6c8,a6b5,White,White,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
2n2rk1/p3nppp/2r1p3/8/8/BN1R2P1/P3PP1P/R5K1 b - - 0 24,6.2407692307692315,FIDE World Championship Match 1986,f8e8,h7h5,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
2n1r1k1/p3nppp/2r1p3/8/8/BN1R2P1/P3PP1P/3R2K1 b - - 2 25,6.5159259259259255,FIDE World Championship Match 1986,f7f6,e7d5,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
2n1r1k1/p3n1pp/2r1pp2/8/3N4/B2R2P1/P3PP1P/3R2K1 b - - 1 26,4.532592592592592,FIDE World Championship Match 1986,c6b6,c6c4,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
2n1r1k1/p3n1pp/r3pp2/1NB5/8/3R2P1/P3PP1P/3R2K1 b - - 5 28,4.07,FIDE World Championship Match 1986,a6c6,e7d5,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
4r1k1/p2Rn1pp/2r1pp2/1N6/8/6P1/P3PP1P/3R2K1 b - - 1 30,4.451999999999999,FIDE World Championship Match 1986,e7g6,e7d5,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
4rnk1/R5pp/2r1pp2/1N6/P7/6P1/4PP1P/3R2K1 b - - 0 32,3.862499999999999,FIDE World Championship Match 1986,e8b8,c6c2,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
1r3nk1/R5pp/2r1pp2/1N6/P7/4P1P1/5P1P/3R2K1 b - - 0 33,3.693461538461539,FIDE World Championship Match 1986,h7h5,c6c2,Black,Black,"Kasparov, Garry","Karpov, Anatoly",4,1-0,2740,2705,Nimzo-Indian Defense: Three Knights Variation,analysis_pgns_test/4S5UuAGn---1986 Karpov vs. Kasparov III.pgn
